Station,date,temp_C,RH_pct,wind_speed_ms,wind_dir_deg,solar_rad_Wm2,surface_pressure_hPa,boundary_layer_height_m,wind_speed_u_ms,wind_speed_v_ms,dilution_volume_index,ventilation_coefficient,photochemical_activitiy_index,geopotential_height_1000hPa,geopotential_height_850hPa,geopotential_height_500hPa,precip_mm,PM2.5_ugm3,O3_8h,PM10_ugm3,NO2_ppb,NOx_ppb,CO_ppm,SO2_ppb,modis_aod_550nm,modis_ndvi,firms_fire_count,firms_frp_mw,pm_n,o3_n,latitude,longtitude,season,year,regime,regime_name,thr_PM,thr_O3,pm_ex,o3_ex,compound,doy_sin,doy_cos,weekday,PM2.5_ugm3_lag1,PM2.5_ugm3_lag2,PM2.5_ugm3_lag3,O3_8h_lag1,O3_8h_lag2,O3_8h_lag3,temp_C_lag1,temp_C_lag2,temp_C_lag3,RH_pct_lag1,RH_pct_lag2,RH_pct_lag3,wind_speed_ms_lag1,wind_speed_ms_lag2,wind_speed_ms_lag3,solar_rad_Wm2_lag1,solar_rad_Wm2_lag2,solar_rad_Wm2_lag3,boundary_layer_height_m_lag1,boundary_layer_height_m_lag2,boundary_layer_height_m_lag3,ventilation_coefficient_lag1,ventilation_coefficient_lag2,ventilation_coefficient_lag3,photochemical_activitiy_index_lag1,photochemical_activitiy_index_lag2,photochemical_activitiy_index_lag3,precip_mm_lag1,precip_mm_lag2,precip_mm_lag3,PM2.5_ugm3_roll3,PM2.5_ugm3_roll7,O3_8h_roll3,O3_8h_roll7,precip_roll3,pm_ex_today,o3_ex_today,compound_today,y24,y48,y72,pm_next,o3_next,pm_ex_next,o3_ex_next
AGRABAD,2014-01-01,19.252173913043478,72.8695652173913,10.191304347826087,263.30434782608694,198.30434782608697,1014.6869565217391,285.6521739130435,-0.8575292690869566,2.5701080374347827,0.004509149826086956,782.4999999782609,4379.678260869566,112.59423368260869,1515.1963198695653,5760.353376217391,0.0,,,,,,,,0.613607026,0.414867464,11.0,129.7468128,0.0,0.0,22.323153,91.802209,winter,2014,1.0,Stagnant-Trapping,149.703,37.34187500000001,,,,0.017201575418260506,0.9998520419557735,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGRABAD,2014-01-02,20.121739130434783,68.8695652173913,12.021739130434783,285.17391304347825,201.52173913043478,1014.7739130434783,306.5217391304348,-0.6662286291304349,3.209002666434783,0.004154456304347826,1009.8248791869564,4669.595652173913,112.82305591739132,1515.673033304348,5761.211459956522,0.0,,,,,,,,1.082089392,0.451906778,3.0,95.07312268,0.0,0.0,22.323153,91.802209,winter,2014,1.0,Stagnant-Trapping,149.703,37.34187500000001,,,,0.03439806061360801,0.9994082116062598,3,,,,,,,19.252173913043478,,,72.8695652173913,,,10.191304347826087,,,198.30434782608697,,,285.6521739130435,,,782.4999999782609,,,4379.678260869566,,,0.0,,,,,,,,,,,,,,,,,
AGRABAD,2014-01-03,19.730434782608697,68.0,12.460869565217392,252.95652173913044,205.7826086956522,1015.0217391304348,460.6521739130435,-0.7197388432608696,3.229734106,0.003062983391304348,1557.5603864782609,4627.913043478261,113.02934470434784,1516.1028016086955,5761.9850430869565,0.0,,,,,,,,0.518460763,0.33101015,8.0,273.8393329,0.0,0.0,22.323153,91.802209,winter,2014,1.0,Stagnant-Trapping,149.703,37.34187500000001,,,,0.051584366869408364,0.9986686402879997,4,,,,,,,20.121739130434783,19.252173913043478,,68.8695652173913,72.8695652173913,,12.021739130434783,10.191304347826087,,201.52173913043478,198.30434782608697,,306.5217391304348,285.6521739130435,,1009.8248791869564,782.4999999782609,,4669.595652173913,4379.678260869566,,0.0,0.0,,,,,,,,,,,,,,,,
AGRABAD,2014-01-04,18.482608695652175,70.69565217391305,11.021739130434783,326.17391304347825,206.69565217391303,1013.5217391304348,371.95652173913044,-1.4914184316521741,2.4948736044347823,0.0035266764782608696,1041.2862318391306,4333.934782608696,113.23547685652174,1516.5322432608696,5762.758038217392,0.0,,,,,,,,0.272920367,0.377214183,0.0,0.0,0.0,0.0,22.323153,91.802209,winter,2014,1.0,Stagnant-Trapping,149.703,37.34187500000001,,,,0.06875540848113941,0.9976335468520451,5,,,,,,,19.730434782608697,20.121739130434783,19.252173913043478,68.0,68.8695652173913,72.8695652173913,12.460869565217392,12.021739130434783,10.191304347826087,205.7826086956522,201.52173913043478,198.30434782608697,460.6521739130435,306.5217391304348,285.6521739130435,1557.5603864782609,1009.8248791869564,782.4999999782609,4627.913043478261,4669.595652173913,4379.678260869566,0.0,0.0,0.0,,,,,0.0,,,,,,0.0,,,,
AGRABAD,2014-01-05,18.226086956521737,75.3913043478261,9.017391304347827,292.6521739130435,199.7826086956522,1011.9608695652173,302.82608695652175,-1.184580866695652,1.809542861347826,0.004506881043478261,701.8961352652174,4135.373913043479,113.44139138695652,1516.9612321304346,5763.530217608696,0.0,,,,,,,,0.300141266,0.509378853,12.0,158.3348204,0.0,0.0,22.323153,91.802209,winter,2014,1.0,Stagnant-Trapping,149.703,37.34187500000001,,,,0.08590610426133272,0.9963032375991965,6,,,,,,,18.482608695652175,19.730434782608697,20.121739130434783,70.69565217391305,68.0,68.8695652173913,11.021739130434783,12.460869565217392,12.021739130434783,206.69565217391303,205.7826086956522,201.52173913043478,371.95652173913044,460.6521739130435,306.5217391304348,1041.2862318391306,1557.5603864782609,1009.8248791869564,4333.934782608696,4627.913043478261,4669.595652173913,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,,,,
AGRABAD,2014-01-06,19.48695652173913,71.91304347826087,9.795652173913044,211.2608695652174,190.2608695652174,1012.6043478260871,299.3478260869565,-0.47393379408695646,2.4579895174347826,0.004861583173913044,877.349033826087,4260.034782608695,113.64702728260869,1517.3896400869564,5764.3013524347825,0.0,,,213.635,18.978571428571428,46.15,1.6914285714285715,4.485714285714286,0.949586163,0.55748209,1.0,27.6347507,6.0,7.0,22.323153,91.802209,winter,2014,1.0,Stagnant-Trapping,149.703,37.34187500000001,,,,0.10303137904317879,0.9946781061893646,0,,,,,,,18.226086956521737,18.482608695652175,19.730434782608697,75.3913043478261,70.69565217391305,68.0,9.017391304347827,11.021739130434783,12.460869565217392,199.7826086956522,206.69565217391303,205.7826086956522,302.82608695652175,371.95652173913044,460.6521739130435,701.8961352652174,1041.2862318391306,1557.5603864782609,4135.373913043479,4333.934782608696,4627.913043478261,0.0,0.0,0.0,,,,,0.0,,,,0.0,0.0,0.0,173.163,36.404999999999994,1.0,0.0
AGRABAD,2014-01-07,19.617391304347827,70.26086956521739,11.0,231.82608695652175,200.95652173913044,1014.3956521739129,437.17391304347825,-0.2648267692608696,2.9176545342173914,0.004071906652173913,1415.5193236826087,4563.734782608695,113.85232378260869,1517.817340956522,5765.071213956521,0.0,173.163,36.404999999999994,248.402,13.124285714285715,80.08055555555556,1.6476190476190478,4.683333333333333,0.799128966,0.649421629,1.0,9.567566248,20.0,21.0,22.323153,91.802209,winter,2014,1.0,Stagnant-Trapping,149.703,37.34187500000001,1.0,0.0,0.0,0.1201261651823505,0.9927586335250793,1,,,,,,,19.48695652173913,18.226086956521737,18.482608695652175,71.91304347826087,75.3913043478261,70.69565217391305,9.795652173913044,9.017391304347827,11.021739130434783,190.2608695652174,199.7826086956522,206.69565217391303,299.3478260869565,302.82608695652175,371.95652173913044,877.349033826087,701.8961352652174,1041.2862318391306,4260.034782608695,4135.373913043479,4333.934782608696,0.0,0.0,0.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,,124.79695652173913,48.2825,0.0,1.0
AGRABAD,2014-01-08,18.621739130434783,63.608695652173914,13.81304347826087,224.3913043478261,211.43478260869566,1015.3565217391305,463.69565217391306,-0.5832133667826087,3.654032082608696,0.002800426304347826,1739.4021740130436,4508.965217391305,114.05722010434783,1518.244208478261,5765.839575173913,0.0,124.79695652173913,48.2825,184.42652173913046,9.359375,8.872352941176471,1.3769565217391304,4.698695652173913,0.25617881,0.626589666,12.0,230.9244584,23.0,23.0,22.323153,91.802209,winter,2014,1.0,Stagnant-Trapping,149.703,37.34187500000001,0.0,1.0,0.0,0.13718540405660057,0.9905453876091833,2,173.163,,,36.404999999999994,,,19.617391304347827,19.48695652173913,18.226086956521737,70.26086956521739,71.91304347826087,75.3913043478261,11.0,9.795652173913044,9.017391304347827,200.95652173913044,190.2608695652174,199.7826086956522,437.17391304347825,299.3478260869565,302.82608695652175,1415.5193236826087,877.349033826087,701.8961352652174,4563.734782608695,4260.034782608695,4135.373913043479,0.0,0.0,0.0,,,,,0.0,0.0,1.0,0.0,0.0,,,148.7715,47.326249999999995,0.0,1.0
AGRABAD,2014-01-09,18.143478260869564,66.0,10.730434782608697,291.4347826086956,210.34782608695653,1014.1608695652175,328.04347826086956,-0.9316285563478262,2.651218240826087,0.003964806043478261,911.2560386,4397.591304347827,114.26165564347826,1518.6701157826087,5766.60620852174,0.0,148.7715,47.326249999999995,225.92,17.28913043478261,17.425217391304347,1.691304347826087,4.31695652173913,0.238312146,0.52489782,12.0,266.1780891,20.0,23.0,22.323153,91.802209,winter,2014,1.0,Stagnant-Trapping,149.703,37.34187500000001,0.0,1.0,0.0,0.1542040475626894,0.988039023376751,3,124.79695652173913,173.163,,48.2825,36.404999999999994,,18.621739130434783,19.617391304347827,19.48695652173913,63.608695652173914,70.26086956521739,71.91304347826087,13.81304347826087,11.0,9.795652173913044,211.43478260869566,200.95652173913044,190.2608695652174,463.69565217391306,437.17391304347825,299.3478260869565,1739.4021740130436,1415.5193236826087,877.349033826087,4508.965217391305,4563.734782608695,4260.034782608695,0.0,0.0,0.0,,,,,0.0,0.0,1.0,0.0,,,,,40.07833333333333,,1.0
AGRABAD,2014-01-10,18.88695652173913,70.30434782608695,9.08695652173913,264.5652173913044,210.47826086956522,1014.2608695652174,223.47826086956522,-0.572701138,2.300076629347826,0.0060446916086956525,499.9033816391304,4643.104347826086,114.46556987391305,1519.0949368695653,5767.370887130434,0.0,,40.07833333333333,206.8890909090909,21.861,17.674166666666668,1.888,4.5375,0.886017588,0.447436819,5.0,119.4354924,7.0,20.0,22.323153,91.802209,winter,2014,1.0,Stagnant-Trapping,149.703,37.34187500000001,,1.0,,0.17117705961019986,0.985240282501282,4,148.7715,124.79695652173913,173.163,47.326249999999995,48.2825,36.404999999999994,18.143478260869564,18.621739130434783,19.617391304347827,66.0,63.608695652173914,70.26086956521739,10.730434782608697,13.81304347826087,11.0,210.34782608695653,211.43478260869566,200.95652173913044,328.04347826086956,463.69565217391306,437.17391304347825,911.2560386,1739.4021740130436,1415.5193236826087,4397.591304347827,4508.965217391305,4563.734782608695,0.0,0.0,0.0,148.91048550724636,,44.00458333333333,,0.0,,1.0,,,,0.0,,32.52375,,0.0
